연도,남구,달서구,달성군,동구,북구,서구,수성구,중구
2024 ," 1,552 "," 5,354 "," 1,724 "," 2,098 "," 3,394 "," 1,348 "," 4,445 ", 994 
2025 ," 1,481 "," 5,119 "," 1,651 "," 2,005 "," 3,239 "," 1,291 "," 4,239 ", 949 
2026 ," 1,402 "," 4,847 "," 1,561 "," 1,908 "," 3,064 "," 1,225 "," 4,019 ", 898 
2027 ," 1,480 "," 5,119 "," 1,649 "," 2,006 "," 3,246 "," 1,289 "," 4,253 ", 949 
2028 ," 1,495 "," 5,160 "," 1,660 "," 2,020 "," 3,272 "," 1,299 "," 4,275 ", 957 
2029 ," 1,442 "," 4,986 "," 1,605 "," 1,958 "," 3,164 "," 1,257 "," 4,141 ", 926 
2030 ," 1,398 "," 4,836 "," 1,551 "," 1,903 "," 3,071 "," 1,218 "," 4,009 ", 898 
2031 ," 1,327 "," 4,599 "," 1,477 "," 1,802 "," 2,914 "," 1,157 "," 3,815 ", 853 
2032 ," 1,331 "," 4,612 "," 1,485 "," 1,800 "," 2,921 "," 1,161 "," 3,825 ", 857 
2033 ," 1,302 "," 4,493 "," 1,449 "," 1,761 "," 2,856 "," 1,133 "," 3,728 ", 837 
2034 ," 1,179 "," 4,082 "," 1,310 "," 1,601 "," 2,590 "," 1,031 "," 3,390 ", 759 
2035 ," 1,043 "," 3,625 "," 1,163 "," 1,414 "," 2,294 ", 912 ," 3,009 ", 675 
2036 , 957 ," 3,302 "," 1,066 "," 1,300 "," 2,096 ", 830 ," 2,744 ", 613 
2037 , 847 ," 2,930 ", 942 ," 1,154 "," 1,856 ", 740 ," 2,431 ", 546 
2038 , 760 ," 2,621 ", 845 ," 1,030 "," 1,666 ", 660 ," 2,175 ", 489 
2039 , 717 ," 2,488 ", 799 , 975 ," 1,570 ", 627 ," 2,058 ", 464 
2040 , 709 ," 2,455 ", 791 , 965 ," 1,555 ", 619 ," 2,029 ", 456 
2041 , 662 ," 2,296 ", 733 , 901 ," 1,450 ", 578 ," 1,903 ", 427 
2042 , 633 ," 2,182 ", 703 , 861 ," 1,385 ", 552 ," 1,814 ", 406 
