연도,남구,달서구,달성군,동구,북구,서구,수성구,중구
2024 , 698 ," 4,975 "," 2,701 "," 2,054 "," 3,728 ", 690 ," 5,074 ", 627 
2025 , 718 ," 5,106 "," 2,763 "," 2,108 "," 3,823 ", 703 ," 5,205 ", 649 
2026 , 644 ," 4,598 "," 2,486 "," 1,892 "," 3,437 ", 635 ," 4,679 ", 582 
2027 , 650 ," 4,635 "," 2,511 "," 1,917 "," 3,473 ", 643 ," 4,721 ", 587 
2028 , 624 ," 4,457 "," 2,404 "," 1,832 "," 3,331 ", 618 ," 4,539 ", 563 
2029 , 605 ," 4,347 "," 2,346 "," 1,789 "," 3,251 ", 604 ," 4,431 ", 549 
2030 , 553 ," 3,944 "," 2,129 "," 1,627 "," 2,956 ", 544 ," 4,020 ", 501 
2031 , 492 ," 3,494 "," 1,888 "," 1,441 "," 2,615 ", 483 ," 3,564 ", 441 
2032 , 446 ," 3,202 "," 1,724 "," 1,319 "," 2,383 ", 440 ," 3,258 ", 404 
2033 , 397 ," 2,832 "," 1,529 "," 1,167 "," 2,118 ", 394 ," 2,884 ", 359 
2034 , 352 ," 2,537 "," 1,368 "," 1,041 "," 1,902 ", 355 ," 2,581 ", 322 
2035 , 339 ," 2,397 "," 1,295 ", 993 ," 1,796 ", 330 ," 2,447 ", 305 
2036 , 333 ," 2,361 "," 1,270 ", 971 ," 1,764 ", 325 ," 2,401 ", 299 
2037 , 311 ," 2,207 "," 1,195 ", 913 ," 1,656 ", 307 ," 2,255 ", 282 
2038 , 295 ," 2,110 "," 1,140 ", 875 ," 1,583 ", 294 ," 2,147 ", 267 
2039 , 269 ," 1,940 "," 1,042 ", 802 ," 1,448 ", 271 ," 1,976 ", 243 
2040 , 256 ," 1,828 ", 987 , 755 ," 1,365 ", 254 ," 1,868 ", 231 
2041 , 236 ," 1,698 ", 912 , 699 ," 1,274 ", 230 ," 1,733 ", 214 
2042 , 224 ," 1,592 ", 861 , 658 ," 1,189 ", 217 ," 1,623 ", 201 
