연도,남구,달서구,달성군,동구,북구,서구,수성구,중구
2024 , 530 ," 3,800 "," 2,644 "," 2,305 "," 2,721 ", 814 ," 2,907 ", 879 
2025 , 499 ," 3,347 "," 2,268 "," 2,021 "," 2,404 ", 778 ," 2,531 ", 868 
2026 , 511 ," 3,086 "," 2,006 "," 1,800 "," 2,149 ", 711 ," 2,311 ", 859 
2027 , 463 ," 2,713 "," 1,814 "," 1,563 "," 1,897 ", 643 ," 2,075 ", 764 
2028 , 437 ," 2,399 "," 1,613 "," 1,424 "," 1,686 ", 563 ," 1,860 ", 683 
2029 , 425 ," 2,288 "," 1,518 "," 1,340 "," 1,588 ", 528 ," 1,753 ", 659 
2030 , 415 ," 2,244 "," 1,491 "," 1,317 "," 1,553 ", 525 ," 1,719 ", 655 
2031 , 390 ," 2,099 "," 1,400 "," 1,241 "," 1,458 ", 493 ," 1,617 ", 614 
2032 , 371 ," 2,002 "," 1,336 "," 1,185 "," 1,390 ", 470 ," 1,536 ", 588 
2033 , 341 ," 1,842 "," 1,224 "," 1,089 "," 1,272 ", 429 ," 1,410 ", 539 
2034 , 324 ," 1,734 "," 1,159 "," 1,024 "," 1,203 ", 408 ," 1,334 ", 510 
2035 , 301 ," 1,612 "," 1,070 ", 947 ," 1,120 ", 377 ," 1,234 ", 472 
2036 , 280 ," 1,507 "," 1,007 ", 891 ," 1,050 ", 354 ," 1,155 ", 442 
2037 , 272 ," 1,447 ", 968 , 859 ," 1,006 ", 338 ," 1,107 ", 426 
2038 , 260 ," 1,390 ", 931 , 823 , 965 , 325 ," 1,073 ", 409 
2039 , 236 ," 1,262 ", 842 , 738 , 873 , 295 , 971 , 371 
2040 , 212 ," 1,126 ", 754 , 663 , 786 , 263 , 863 , 331 
2041 , 187 , 992 , 663 , 582 , 695 , 234 , 760 , 292 
2042 , 173 , 926 , 613 , 543 , 636 , 218 , 710 , 272 
