연도,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042
초중고 총계,"233,998","229,116","219,566","211,017","201,186","190,556","179,645","168,778","158,176","147,876","137,040","126,134","116,462","108,430","101,326","95,113","89,523","83,927","78,143"
초등학교 소계,"114,035","107,290","101,293","93,677","85,612","77,443","70,774","65,361","60,805","57,103","54,091","51,101","47,888","45,022","42,325","39,756","37,054","34,327","31,725"
초1,"16,600","14,716","13,433","11,932","10,665","10,099","9,919","9,312","8,878","8,146","7,696","7,133","6,686","6,423","6,176","5,588","4,998","4,405","4,091"
초2,"18,264","16,623","14,697","13,448","11,882","10,656","10,087","9,901","9,299","8,896","8,150","7,674","7,120","6,671","6,416","6,171","5,567","4,999","4,404"
초3,"18,724","18,287","16,616","14,728","13,484","11,929","10,682","10,113","9,933","9,345","8,910","8,172","7,717","7,163","6,729","6,449","6,213","5,606","5,015"
초4,"19,567","18,778","18,262","16,588","14,705","13,467","11,920","10,678","10,107","9,924","9,313","8,889","8,150","7,711","7,145","6,703","6,428","6,180","5,592"
초5,"19,377","19,545","18,721","18,269","16,606","14,724","13,442","11,913","10,666","10,119","9,928","9,319","8,890","8,154","7,709","7,147","6,712","6,433","6,195"
초6,"21,503","19,341","19,564","18,712","18,270","16,568","14,724","13,444","11,922","10,673","10,094","9,914","9,325","8,900","8,150","7,698","7,136","6,704","6,428"
중학교 소계,"60,258","62,025","59,382","58,283","55,964","54,604","52,566","48,598","43,876","39,276","35,309","32,046","30,082","28,805","27,617","25,828","24,243","22,531","21,107"
중1,"20,547","21,075","18,953","19,137","18,368","17,922","16,274","14,418","13,176","11,680","10,458","9,902","9,724","9,126","8,711","7,991","7,544","6,996","6,565"
중2,"20,404","20,556","19,879","19,269","18,320","18,369","17,926","16,264","14,429","13,174","11,674","10,467","9,899","9,776","9,126","8,707","7,993","7,546","6,998"
중3,"19,307","20,394","20,550","19,877","19,276","18,313","18,366","17,916","16,271","14,422","13,177","11,677","10,459","9,903","9,780","9,130","8,706","7,989","7,544"
고등학교 소계,"59,705","59,801","58,891","59,057","59,610","58,509","56,305","54,819","53,495","51,497","47,640","42,987","38,492","34,603","31,384","29,529","28,226","27,069","25,311"
고1,"19,992","18,921","19,992","20,140","19,477","18,887","17,944","17,995","17,559","15,943","14,137","12,911","11,445","10,244","9,695","9,583","8,951","8,533","7,828"
고2,"20,909","19,974","18,924","19,991","20,138","19,479","18,884","17,944","17,992","17,559","15,942","14,135","12,908","11,446","10,246","9,698","9,579","8,950","8,536"
고3,"18,804","20,906","19,975","18,926","19,995","20,143","19,477","18,880","17,944","17,995","17,561","15,941","14,139","12,913","11,443","10,248","9,696","9,586","8,947"
