연도,남구,달서구,달성군,동구,북구,서구,수성구,중구
2024 ," 1,549 "," 5,341 "," 1,743 "," 2,114 "," 3,402 "," 1,348 "," 4,418 ", 987 
2025 ," 1,480 "," 5,107 "," 1,668 "," 2,014 "," 3,260 "," 1,287 "," 4,217 ", 944 
2026 ," 1,402 "," 4,837 "," 1,579 "," 1,914 "," 3,081 "," 1,221 "," 3,998 ", 893 
2027 ," 1,482 "," 5,111 "," 1,666 "," 2,020 "," 3,258 "," 1,291 "," 4,222 ", 945 
2028 ," 1,492 "," 5,143 "," 1,679 "," 2,035 "," 3,281 "," 1,302 "," 4,251 ", 953 
2029 ," 1,443 "," 4,982 "," 1,621 "," 1,967 "," 3,171 "," 1,258 "," 4,114 ", 919 
2030 ," 1,396 "," 4,828 "," 1,573 "," 1,910 "," 3,076 "," 1,217 "," 3,987 ", 894 
2031 ," 1,327 "," 4,587 "," 1,495 "," 1,813 "," 2,925 "," 1,160 "," 3,790 ", 850 
2032 ," 1,332 "," 4,602 "," 1,500 "," 1,816 "," 2,930 "," 1,162 "," 3,804 ", 850 
2033 ," 1,301 "," 4,487 "," 1,468 "," 1,773 "," 2,861 "," 1,134 "," 3,709 ", 829 
2034 ," 1,178 "," 4,075 "," 1,327 "," 1,615 "," 2,597 "," 1,029 "," 3,372 ", 754 
2035 ," 1,047 "," 3,612 "," 1,176 "," 1,428 "," 2,308 ", 910 ," 2,981 ", 670 
2036 , 956 ," 3,296 "," 1,079 "," 1,303 "," 2,104 ", 829 ," 2,725 ", 610 
2037 , 845 ," 2,931 ", 955 ," 1,154 "," 1,866 ", 739 ," 2,414 ", 543 
2038 , 760 ," 2,616 ", 852 ," 1,037 "," 1,668 ", 660 ," 2,167 ", 485 
2039 , 717 ," 2,480 ", 809 , 981 ," 1,573 ", 627 ," 2,053 ", 458 
2040 , 711 ," 2,445 ", 796 , 971 ," 1,563 ", 619 ," 2,026 ", 452 
2041 , 670 ," 2,311 ", 751 , 917 ," 1,476 ", 583 ," 1,908 ", 431 
2042 , 653 ," 2,244 ", 729 , 892 ," 1,433 ", 571 ," 1,857 ", 416 
