연도,남구,달서구,달성군,동구,북구,서구,수성구,중구
2024 , 773 ," 4,617 "," 2,369 "," 1,857 "," 3,638 ", 753 ," 4,693 ", 612 
2025 , 811 ," 4,881 "," 2,501 "," 1,967 "," 3,846 ", 794 ," 4,952 ", 647 
2026 , 822 ," 4,912 "," 2,521 "," 1,971 "," 3,874 ", 803 ," 4,993 ", 651 
2027 , 796 ," 4,760 "," 2,431 "," 1,908 "," 3,751 ", 774 ," 4,837 ", 627 
2028 , 770 ," 4,605 "," 2,364 "," 1,856 "," 3,630 ", 752 ," 4,683 ", 607 
2029 , 730 ," 4,380 "," 2,250 "," 1,763 "," 3,457 ", 712 ," 4,452 ", 577 
2030 , 735 ," 4,395 "," 2,249 "," 1,763 "," 3,462 ", 717 ," 4,461 ", 580 
2031 , 714 ," 4,300 "," 2,195 "," 1,726 "," 3,373 ", 694 ," 4,352 ", 561 
2032 , 647 ," 3,893 "," 1,989 "," 1,567 "," 3,068 ", 633 ," 3,956 ", 515 
2033 , 574 ," 3,449 "," 1,770 "," 1,396 "," 2,717 ", 561 ," 3,501 ", 455 
2034 , 522 ," 3,156 "," 1,613 "," 1,270 "," 2,489 ", 508 ," 3,197 ", 415 
2035 , 466 ," 2,795 "," 1,429 "," 1,125 "," 2,201 ", 455 ," 2,838 ", 367 
2036 , 419 ," 2,505 "," 1,284 "," 1,005 "," 1,976 ", 410 ," 2,531 ", 331 
2037 , 393 ," 2,371 "," 1,211 ", 953 ," 1,870 ", 382 ," 2,405 ", 311 
2038 , 391 ," 2,336 "," 1,203 ", 940 ," 1,850 ", 379 ," 2,373 ", 308 
2039 , 369 ," 2,205 "," 1,133 ", 885 ," 1,739 ", 359 ," 2,244 ", 291 
2040 , 356 ," 2,153 "," 1,102 ", 858 ," 1,695 ", 350 ," 2,175 ", 282 
2041 , 346 ," 2,088 "," 1,070 ", 838 ," 1,646 ", 339 ," 2,112 ", 275 
2042 , 333 ," 2,005 "," 1,023 ", 803 ," 1,576 ", 324 ," 2,032 ", 265 
