연도,남구,달서구,달성군,동구,북구,서구,수성구,중구
2024 , 645 ," 4,506 "," 2,833 "," 2,583 "," 3,293 ", 977 ," 3,810 ", 921 
2025 , 656 ," 4,277 "," 2,606 "," 2,458 "," 3,130 "," 1,031 "," 3,599 "," 1,012 "
2026 , 713 ," 4,218 "," 2,473 "," 2,320 "," 3,005 ", 987 ," 3,493 "," 1,061 "
2027 , 648 ," 3,793 "," 2,290 "," 2,077 "," 2,708 ", 915 ," 3,203 ", 964 
2028 , 618 ," 3,323 "," 2,016 "," 1,882 "," 2,378 ", 796 ," 2,853 ", 839 
2029 , 565 ," 3,076 "," 1,829 "," 1,711 "," 2,160 ", 726 ," 2,599 ", 794 
2030 , 510 ," 2,708 "," 1,621 "," 1,513 "," 1,912 ", 644 ," 2,294 ", 715 
2031 , 459 ," 2,432 "," 1,442 "," 1,357 "," 1,716 ", 579 ," 2,059 ", 642 
2032 , 434 ," 2,300 "," 1,372 "," 1,274 "," 1,626 ", 547 ," 1,951 ", 605 
2033 , 428 ," 2,276 "," 1,355 "," 1,259 "," 1,606 ", 540 ," 1,927 ", 598 
2034 , 403 ," 2,143 "," 1,280 "," 1,187 "," 1,513 ", 510 ," 1,817 ", 564 
2035 , 394 ," 2,091 "," 1,245 "," 1,154 "," 1,471 ", 497 ," 1,767 ", 549 
2036 , 380 ," 2,024 "," 1,211 "," 1,121 "," 1,429 ", 482 ," 1,715 ", 532 
2037 , 366 ," 1,945 "," 1,160 "," 1,074 "," 1,369 ", 464 ," 1,647 ", 510 
2038 , 349 ," 1,860 "," 1,111 "," 1,031 "," 1,312 ", 443 ," 1,577 ", 491 
2039 , 338 ," 1,794 "," 1,069 ", 991 ," 1,263 ", 426 ," 1,517 ", 473 
2040 , 328 ," 1,739 "," 1,041 ", 963 ," 1,227 ", 415 ," 1,474 ", 460 
2041 , 321 ," 1,714 "," 1,021 ", 947 ," 1,204 ", 407 ," 1,444 ", 451 
2042 , 309 ," 1,642 ", 982 , 913 ," 1,160 ", 392 ," 1,395 ", 434 
