연도,남구,달서구,달성군,동구,북구,서구,수성구,중구
2023 , 688 ," 4,633 "," 2,348 "," 1,893 "," 3,563 ", 713 ," 4,818 ", 585 
2024 , 728 ," 4,911 "," 2,486 "," 2,008 "," 3,778 ", 756 ," 5,111 ", 620 
2025 , 727 ," 4,893 "," 2,476 "," 2,002 "," 3,764 ", 756 ," 5,092 ", 619 
2026 , 750 ," 5,045 "," 2,554 "," 2,061 "," 3,883 ", 778 ," 5,251 ", 637 
2027 , 673 ," 4,527 "," 2,290 "," 1,850 "," 3,482 ", 700 ," 4,711 ", 571 
2028 , 683 ," 4,591 "," 2,322 "," 1,876 "," 3,529 ", 709 ," 4,774 ", 579 
2029 , 676 ," 4,553 "," 2,303 "," 1,861 "," 3,501 ", 702 ," 4,734 ", 576 
2030 , 650 ," 4,379 "," 2,214 "," 1,789 "," 3,366 ", 675 ," 4,555 ", 554 
2031 , 590 ," 3,975 "," 2,012 "," 1,624 "," 3,057 ", 613 ," 4,134 ", 502 
2032 , 524 ," 3,524 "," 1,782 "," 1,440 "," 2,710 ", 544 ," 3,665 ", 444 
2033 , 478 ," 3,218 "," 1,628 "," 1,317 "," 2,475 ", 497 ," 3,348 ", 407 
2034 , 424 ," 2,851 "," 1,442 "," 1,166 "," 2,193 ", 441 ," 2,968 ", 360 
2035 , 379 ," 2,553 "," 1,290 "," 1,046 "," 1,966 ", 396 ," 2,658 ", 324 
2036 , 359 ," 2,418 "," 1,223 ", 988 ," 1,859 ", 373 ," 2,515 ", 306 
2037 , 327 ," 2,201 "," 1,113 ", 900 ," 1,694 ", 341 ," 2,292 ", 277 
2038 , 332 ," 2,236 "," 1,133 ", 913 ," 1,719 ", 343 ," 2,324 ", 282 
2039 , 356 ," 2,397 "," 1,213 ", 980 ," 1,844 ", 370 ," 2,494 ", 303 
2040 , 381 ," 2,563 "," 1,297 "," 1,047 "," 1,972 ", 397 ," 2,667 ", 324 
2041 , 405 ," 2,725 "," 1,381 "," 1,113 "," 2,095 ", 420 ," 2,833 ", 344 
2042 , 427 ," 2,876 "," 1,455 "," 1,174 "," 2,215 ", 444 ," 2,992 ", 364 
