연도,남구,달서구,달성군,동구,북구,서구,수성구,중구
2023 , 723 ," 5,196 "," 3,083 "," 2,847 "," 3,776 ", 920 ," 4,216 ", 779 
2024 , 649 ," 4,661 "," 2,771 "," 2,554 "," 3,387 ", 825 ," 3,783 ", 699 
2025 , 658 ," 4,725 "," 2,809 "," 2,589 "," 3,434 ", 837 ," 3,834 ", 708 
2026 , 652 ," 4,686 "," 2,785 "," 2,568 "," 3,405 ", 830 ," 3,802 ", 702 
2027 , 627 ," 4,506 "," 2,678 "," 2,469 "," 3,274 ", 798 ," 3,656 ", 675 
2028 , 569 ," 4,091 "," 2,432 "," 2,242 "," 2,973 ", 724 ," 3,320 ", 613 
2029 , 505 ," 3,627 "," 2,157 "," 1,987 "," 2,635 ", 642 ," 2,943 ", 543 
2030 , 461 ," 3,313 "," 1,970 "," 1,815 "," 2,407 ", 587 ," 2,688 ", 496 
2031 , 409 ," 2,936 "," 1,746 "," 1,609 "," 2,134 ", 520 ," 2,383 ", 440 
2032 , 366 ," 2,630 "," 1,563 "," 1,441 "," 1,911 ", 466 ," 2,134 ", 394 
2033 , 346 ," 2,489 "," 1,479 "," 1,364 "," 1,808 ", 441 ," 2,019 ", 373 
2034 , 315 ," 2,266 "," 1,347 "," 1,242 "," 1,647 ", 401 ," 1,839 ", 340 
2035 , 320 ," 2,300 "," 1,368 "," 1,260 "," 1,671 ", 407 ," 1,867 ", 345 
2036 , 344 ," 2,469 "," 1,468 "," 1,353 "," 1,794 ", 437 ," 2,004 ", 370 
2037 , 367 ," 2,639 "," 1,569 "," 1,446 "," 1,918 ", 467 ," 2,141 ", 395 
2038 , 390 ," 2,805 "," 1,667 "," 1,537 "," 2,038 ", 496 ," 2,276 ", 420 
2039 , 412 ," 2,960 "," 1,760 "," 1,622 "," 2,151 ", 524 ," 2,402 ", 444 
2040 , 431 ," 3,101 "," 1,843 "," 1,699 "," 2,253 ", 549 ," 2,516 ", 465 
2041 , 448 ," 3,222 "," 1,916 "," 1,765 "," 2,341 ", 570 ," 2,614 ", 483 
2042 , 462 ," 3,320 "," 1,973 "," 1,819 "," 2,413 ", 588 ," 2,694 ", 498 
