연도,남구,달서구,달성군,동구,북구,서구,수성구,중구
2023 , 713 ," 5,019 "," 2,817 "," 2,727 "," 3,598 ", 964 ," 4,226 ", 794 
2024 , 710 ," 5,142 "," 2,886 "," 2,796 "," 3,616 "," 1,066 "," 4,377 ", 925 
2025 , 674 ," 4,586 "," 2,487 "," 2,480 "," 3,240 "," 1,037 "," 3,862 ", 951 
2026 , 764 ," 4,699 "," 2,435 "," 2,452 "," 3,215 "," 1,049 "," 3,911 "," 1,068 "
2027 , 758 ," 4,610 "," 2,456 "," 2,373 "," 3,167 "," 1,062 "," 3,911 "," 1,050 "
2028 , 781 ," 4,382 "," 2,339 "," 2,334 "," 3,028 "," 1,005 "," 3,774 "," 1,000 "
2029 , 719 ," 4,011 "," 2,110 "," 2,106 "," 2,733 ", 904 ," 3,410 ", 937 
2030 , 643 ," 3,548 "," 1,865 "," 1,864 "," 2,414 ", 803 ," 3,021 ", 848 
2031 , 589 ," 3,240 "," 1,701 "," 1,706 "," 2,203 ", 734 ," 2,759 ", 776 
2032 , 522 ," 2,873 "," 1,510 "," 1,512 "," 1,953 ", 651 ," 2,445 ", 688 
2033 , 467 ," 2,573 "," 1,352 "," 1,354 "," 1,749 ", 583 ," 2,190 ", 616 
2034 , 442 ," 2,435 "," 1,279 "," 1,281 "," 1,656 ", 552 ," 2,072 ", 583 
2035 , 402 ," 2,217 "," 1,165 "," 1,167 "," 1,508 ", 503 ," 1,887 ", 531 
2036 , 408 ," 2,250 "," 1,182 "," 1,184 "," 1,530 ", 510 ," 1,915 ", 539 
2037 , 439 ," 2,416 "," 1,269 "," 1,271 "," 1,643 ", 548 ," 2,056 ", 578 
2038 , 469 ," 2,582 "," 1,357 "," 1,359 "," 1,756 ", 585 ," 2,197 ", 618 
2039 , 498 ," 2,744 "," 1,442 "," 1,444 "," 1,866 ", 622 ," 2,335 ", 657 
2040 , 526 ," 2,895 "," 1,521 "," 1,524 "," 1,969 ", 656 ," 2,464 ", 693 
2041 , 551 ," 3,033 "," 1,594 "," 1,596 "," 2,063 ", 688 ," 2,581 ", 726 
2042 , 572 ," 3,152 "," 1,656 "," 1,659 "," 2,143 ", 714 ," 2,682 ", 755 
