연도,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042
초중고 총계,"238,690","234,971","229,643","221,170","212,485","203,597","193,075","181,750","170,038","161,117","152,729","145,278","139,253","135,489","134,075","134,318","136,341","139,754","143,804","148,449"
초등학교 소계,"118,857","114,930","108,451","102,880","95,493","87,012","78,700","71,177","65,717","62,250","61,036","61,765","63,714","67,156","70,956","74,466","77,579","80,220","82,335","83,652"
초1,"18,734","17,009","15,079","13,775","12,208","10,934","10,348","9,423","9,565","10,266","10,972","11,660","12,306","12,891","13,394","13,805","14,114","14,325","14,441","14,222"
초2,"19,330","18,588","16,877","14,962","13,668","12,113","10,849","10,267","9,350","9,490","10,186","10,887","11,569","12,210","12,791","13,290","13,697","14,004","14,213","14,329"
초3,"19,489","19,326","18,584","16,874","14,959","13,665","12,111","10,847","10,265","9,348","9,488","10,184","10,885","11,567","12,208","12,788","13,287","13,694","14,001","14,210"
초4,"19,198","19,461","19,298","18,557","16,850","14,937","13,645","12,094","10,831","10,250","9,335","9,474","10,169","10,869","11,550","12,190","12,770","13,268","13,674","13,981"
초5,"21,391","19,191","19,454","19,291","18,550","16,844","14,931","13,640","12,089","10,827","10,246","9,331","9,470","10,165","10,865","11,546","12,185","12,765","13,263","13,669"
초6,"20,715","21,355","19,159","19,421","19,258","18,519","16,816","14,906","13,617","12,069","10,809","10,229","9,315","9,454","10,148","10,847","11,526","12,164","12,743","13,241"
중학교 소계,"60,300","60,264","61,994","60,385","59,108","57,046","56,412","53,838","49,542","44,709","40,027","35,986","32,647","29,933","28,599","28,525","30,037","32,081","34,069","35,939"
중1,"20,575","20,508","21,141","18,967","19,227","19,065","18,334","16,648","14,757","13,481","11,948","10,701","10,127","9,222","9,359","10,047","10,739","11,411","12,042","12,616"
중2,"19,322","20,489","20,423","21,053","18,888","19,147","18,986","18,258","16,579","14,696","13,425","11,898","10,656","10,085","9,184","9,320","10,005","10,694","11,364","11,992"
중3,"20,403","19,267","20,430","20,365","20,993","18,834","19,092","18,932","18,206","16,532","14,654","13,387","11,864","10,626","10,056","9,158","9,293","9,976","10,663","11,331"
고등학교 소계,"59,533","59,777","59,198","57,905","57,884","59,539","57,963","56,735","54,779","54,158","51,666","47,527","42,892","38,400","34,520","31,327","28,725","27,453","27,400","28,858"
고1,"21,405","20,015","18,901","20,042","19,978","20,594","18,476","18,729","18,572","17,860","16,218","14,376","13,133","11,639","10,424","9,865","8,984","9,116","9,786","10,460"
고2,"19,052","20,976","19,614","18,523","19,641","19,578","20,182","18,106","18,354","18,200","17,502","15,893","14,088","12,870","11,406","10,215","9,668","8,804","8,933","9,590"
고3,"19,076","18,786","20,683","19,340","18,265","19,367","19,305","19,900","17,853","18,098","17,946","17,258","15,671","13,891","12,690","11,247","10,073","9,533","8,681","8,808"
