출생년도,입학년도,무이동,저위,중위,CRU,SSM
2023,2030,9423,8541,9286,9921,9978
2024,2031,9565,7980,9274,9317,9414
2025,2032,10266,7838,9767,8886,9156
2026,2033,10972,8184,10248,8152,8895
2027,2034,11660,8506,10696,7698,8534
2028,2035,12306,8789,11100,7138,8173
2029,2036,12891,9026,11449,6701,7861
2030,2037,13394,9214,11739,6433,7651
2031,2038,13805,9358,11961,6182,7490
2032,2039,14114,9451,12124,5587,7230
2033,2040,14325,9494,12236,5001,7099
2034,2041,14441,9497,12303,4401,6868
2035,2042,14222,9320,12133,4082,6607
