연도,남구,달서구,달성군,동구,북구,서구,수성구,중구
2023 ," 1,541 "," 5,002 "," 1,506 "," 1,898 "," 3,099 "," 1,192 "," 3,962 ", 891 
2024 ," 1,518 "," 4,926 "," 1,483 "," 1,869 "," 3,052 "," 1,174 "," 3,902 ", 877 
2025 ," 1,671 "," 5,423 "," 1,633 "," 2,058 "," 3,360 "," 1,293 "," 4,296 ", 966 
2026 ," 1,563 "," 5,071 "," 1,527 "," 1,924 "," 3,142 "," 1,209 "," 4,017 ", 903 
2027 ," 1,476 "," 4,789 "," 1,442 "," 1,817 "," 2,967 "," 1,142 "," 3,794 ", 853 
2028 ," 1,565 "," 5,078 "," 1,529 "," 1,927 "," 3,146 "," 1,210 "," 4,023 ", 904 
2029 ," 1,560 "," 5,062 "," 1,524 "," 1,921 "," 3,136 "," 1,207 "," 4,010 ", 902 
2030 ," 1,608 "," 5,218 "," 1,571 "," 1,980 "," 3,233 "," 1,244 "," 4,133 ", 929 
2031 ," 1,443 "," 4,681 "," 1,409 "," 1,776 "," 2,900 "," 1,116 "," 3,708 ", 834 
2032 ," 1,462 "," 4,745 "," 1,428 "," 1,801 "," 2,940 "," 1,131 "," 3,759 ", 845 
2033 ," 1,450 "," 4,705 "," 1,416 "," 1,786 "," 2,915 "," 1,122 "," 3,727 ", 838 
2034 ," 1,394 "," 4,525 "," 1,362 "," 1,717 "," 2,804 "," 1,079 "," 3,584 ", 806 
2035 ," 1,266 "," 4,109 "," 1,237 "," 1,559 "," 2,546 ", 979 ," 3,255 ", 732 
2036 ," 1,122 "," 3,642 "," 1,096 "," 1,382 "," 2,257 ", 868 ," 2,885 ", 649 
2037 ," 1,025 "," 3,327 "," 1,002 "," 1,263 "," 2,062 ", 793 ," 2,636 ", 593 
2038 , 909 ," 2,949 ", 888 ," 1,119 "," 1,827 ", 703 ," 2,336 ", 525 
2039 , 814 ," 2,641 ", 795 ," 1,002 "," 1,636 ", 630 ," 2,092 ", 470 
2040 , 770 ," 2,500 ", 752 , 949 ," 1,549 ", 596 ," 1,980 ", 445 
2041 , 636 ," 2,063 ", 621 , 783 ," 1,278 ", 492 ," 1,634 ", 367 
2042 , 594 ," 1,928 ", 580 , 732 ," 1,195 ", 460 ," 1,527 ", 343 
