연도,남구,달서구,달성군,동구,북구,서구,수성구,중구
2023 , 688 ," 4,631 "," 2,344 "," 1,894 "," 3,563 ", 715 ," 4,819 ", 585 
2024 , 729 ," 4,911 "," 2,485 "," 2,008 "," 3,778 ", 758 ," 5,110 ", 621 
2025 , 727 ," 4,895 "," 2,477 "," 2,001 "," 3,766 ", 756 ," 5,093 ", 619 
2026 , 749 ," 5,046 "," 2,554 "," 2,063 "," 3,882 ", 779 ," 5,251 ", 638 
2027 , 672 ," 4,527 "," 2,291 "," 1,851 "," 3,483 ", 699 ," 4,711 ", 572 
2028 , 682 ," 4,590 "," 2,323 "," 1,876 "," 3,531 ", 708 ," 4,775 ", 580 
2029 , 676 ," 4,551 "," 2,303 "," 1,861 "," 3,501 ", 702 ," 4,735 ", 575 
2030 , 650 ," 4,376 "," 2,215 "," 1,789 "," 3,367 ", 676 ," 4,554 ", 553 
2031 , 590 ," 3,974 "," 2,011 "," 1,625 "," 3,057 ", 613 ," 4,135 ", 502 
2032 , 523 ," 3,523 "," 1,783 "," 1,440 "," 2,710 ", 544 ," 3,665 ", 445 
2033 , 478 ," 3,218 "," 1,628 "," 1,316 "," 2,476 ", 497 ," 3,348 ", 407 
2034 , 424 ," 2,852 "," 1,443 "," 1,166 "," 2,194 ", 440 ," 2,967 ", 361 
2035 , 379 ," 2,554 "," 1,293 "," 1,044 "," 1,965 ", 394 ," 2,658 ", 323 
2036 , 359 ," 2,417 "," 1,223 ", 988 ," 1,860 ", 373 ," 2,515 ", 306 
2037 , 296 ," 1,995 "," 1,010 ", 816 ," 1,535 ", 308 ," 2,076 ", 252 
2038 , 277 ," 1,864 ", 943 , 762 ," 1,434 ", 288 ," 1,940 ", 236 
2039 , 272 ," 1,831 ", 927 , 749 ," 1,409 ", 283 ," 1,905 ", 231 
2040 , 284 ," 1,912 ", 967 , 782 ," 1,471 ", 295 ," 1,989 ", 242 
2041 , 295 ," 1,987 "," 1,006 ", 812 ," 1,529 ", 307 ," 2,068 ", 251 
2042 , 305 ," 2,053 "," 1,039 ", 839 ," 1,579 ", 317 ," 2,136 ", 260 
