연도,남구,달서구,달성군,동구,북구,서구,수성구,중구
2023 , 658 ," 4,585 "," 2,985 "," 2,681 "," 3,379 ", 872 ," 3,657 ", 866 
2024 , 629 ," 4,519 "," 2,944 "," 2,645 "," 3,267 ", 930 ," 3,644 ", 955 
2025 , 641 ," 4,319 "," 2,733 "," 2,515 "," 3,137 ", 973 ," 3,441 "," 1,036 "
2026 , 652 ," 3,965 "," 2,406 "," 2,230 "," 2,789 ", 881 ," 3,121 "," 1,031 "
2027 , 578 ," 3,476 "," 2,165 "," 1,932 "," 2,456 ", 798 ," 2,793 ", 907 
2028 , 566 ," 3,138 "," 1,961 "," 1,803 "," 2,230 ", 717 ," 2,561 ", 821 
2029 , 509 ," 2,804 "," 1,727 "," 1,588 "," 1,965 ", 629 ," 2,257 ", 748 
2030 , 460 ," 2,506 "," 1,543 "," 1,421 "," 1,753 ", 565 ," 2,021 ", 683 
2031 , 434 ," 2,373 "," 1,464 "," 1,349 "," 1,664 ", 531 ," 1,911 ", 639 
2032 , 358 ," 1,960 "," 1,209 "," 1,113 "," 1,374 ", 439 ," 1,578 ", 528 
2033 , 334 ," 1,831 "," 1,129 "," 1,040 "," 1,284 ", 410 ," 1,474 ", 493 
2034 , 329 ," 1,799 "," 1,109 "," 1,022 "," 1,261 ", 403 ," 1,448 ", 484 
2035 , 343 ," 1,878 "," 1,158 "," 1,067 "," 1,317 ", 421 ," 1,512 ", 506 
2036 , 357 ," 1,952 "," 1,204 "," 1,109 "," 1,368 ", 438 ," 1,571 ", 526 
2037 , 368 ," 2,017 "," 1,244 "," 1,146 "," 1,414 ", 452 ," 1,624 ", 543 
2038 , 378 ," 2,072 "," 1,278 "," 1,177 "," 1,452 ", 464 ," 1,667 ", 558 
2039 , 386 ," 2,115 "," 1,304 "," 1,201 "," 1,482 ", 474 ," 1,702 ", 569 
2040 , 392 ," 2,148 "," 1,324 "," 1,220 "," 1,505 ", 481 ," 1,729 ", 578 
2041 , 396 ," 2,169 "," 1,338 "," 1,232 "," 1,520 ", 486 ," 1,746 ", 584 
2042 , 398 ," 2,179 "," 1,344 "," 1,238 "," 1,527 ", 488 ," 1,754 ", 587 
