연도,남구,달서구,달성군,동구,북구,서구,수성구,중구
2023 , 717 ," 5,102 "," 2,842 "," 2,728 "," 3,685 ", 903 ," 4,174 ", 696 
2024 , 739 ," 5,260 "," 2,937 "," 2,812 "," 3,799 ", 931 ," 4,303 ", 718 
2025 , 663 ," 4,719 "," 2,634 "," 2,523 "," 3,408 ", 835 ," 3,861 ", 644 
2026 , 672 ," 4,783 "," 2,670 "," 2,558 "," 3,455 ", 847 ," 3,913 ", 653 
2027 , 666 ," 4,743 "," 2,648 "," 2,536 "," 3,426 ", 840 ," 3,880 ", 647 
2028 , 641 ," 4,561 "," 2,546 "," 2,439 "," 3,295 ", 807 ," 3,732 ", 622 
2029 , 582 ," 4,142 "," 2,312 "," 2,215 "," 2,992 ", 733 ," 3,388 ", 565 
2030 , 516 ," 3,671 "," 2,050 "," 1,963 "," 2,652 ", 650 ," 3,004 ", 501 
2031 , 471 ," 3,354 "," 1,872 "," 1,793 "," 2,422 ", 594 ," 2,744 ", 458 
2032 , 418 ," 2,973 "," 1,659 "," 1,589 "," 2,147 ", 526 ," 2,432 ", 406 
2033 , 374 ," 2,662 "," 1,486 "," 1,424 "," 1,923 ", 471 ," 2,178 ", 363 
2034 , 354 ," 2,519 "," 1,406 "," 1,347 "," 1,820 ", 446 ," 2,061 ", 344 
2035 , 292 ," 2,080 "," 1,161 "," 1,112 "," 1,502 ", 368 ," 1,701 ", 284 
2036 , 273 ," 1,943 "," 1,085 "," 1,039 "," 1,403 ", 344 ," 1,590 ", 265 
2037 , 268 ," 1,908 "," 1,066 "," 1,020 "," 1,378 ", 338 ," 1,561 ", 260 
2038 , 280 ," 1,992 "," 1,111 "," 1,065 "," 1,439 ", 353 ," 1,630 ", 272 
2039 , 291 ," 2,071 "," 1,157 "," 1,107 "," 1,496 ", 367 ," 1,694 ", 283 
2040 , 301 ," 2,140 "," 1,194 "," 1,144 "," 1,546 ", 379 ," 1,751 ", 292 
2041 , 309 ," 2,198 "," 1,227 "," 1,175 "," 1,587 ", 389 ," 1,798 ", 300 
2042 , 315 ," 2,244 "," 1,253 "," 1,200 "," 1,620 ", 397 ," 1,835 ", 306 
