연도,남구,달서구,달성군,동구,북구,서구,수성구,중구
2023 ," 1,406 "," 4,851 "," 1,587 "," 1,922 "," 3,098 "," 1,225 "," 4,003 ", 897 
2024 ," 1,548 "," 5,340 "," 1,747 "," 2,116 "," 3,411 "," 1,349 "," 4,407 ", 988 
2025 ," 1,448 "," 4,994 "," 1,634 "," 1,979 "," 3,189 "," 1,261 "," 4,121 ", 924 
2026 ," 1,367 "," 4,716 "," 1,543 "," 1,869 "," 3,012 "," 1,191 "," 3,892 ", 872 
2027 ," 1,450 "," 5,001 "," 1,636 "," 1,982 "," 3,194 "," 1,263 "," 4,127 ", 925 
2028 ," 1,445 "," 4,985 "," 1,631 "," 1,975 "," 3,183 "," 1,259 "," 4,113 ", 922 
2029 ," 1,489 "," 5,138 "," 1,681 "," 2,036 "," 3,282 "," 1,298 "," 4,240 ", 951 
2030 ," 1,336 "," 4,610 "," 1,508 "," 1,827 "," 2,944 "," 1,164 "," 3,804 ", 853 
2031 ," 1,355 "," 4,673 "," 1,529 "," 1,852 "," 2,984 "," 1,180 "," 3,856 ", 864 
2032 ," 1,343 "," 4,634 "," 1,516 "," 1,836 "," 2,959 "," 1,170 "," 3,824 ", 857 
2033 ," 1,292 "," 4,456 "," 1,458 "," 1,766 "," 2,846 "," 1,125 "," 3,677 ", 824 
2034 ," 1,173 "," 4,046 "," 1,324 "," 1,604 "," 2,584 "," 1,022 "," 3,339 ", 749 
2035 ," 1,040 "," 3,587 "," 1,174 "," 1,421 "," 2,291 ", 906 ," 2,960 ", 664 
2036 , 950 ," 3,277 "," 1,072 "," 1,299 "," 2,093 ", 828 ," 2,704 ", 606 
2037 , 842 ," 2,904 ", 950 ," 1,151 "," 1,855 ", 733 ," 2,396 ", 537 
2038 , 754 ," 2,601 ", 851 ," 1,031 "," 1,661 ", 657 ," 2,146 ", 481 
2039 , 713 ," 2,461 ", 805 , 976 ," 1,572 ", 622 ," 2,031 ", 455 
2040 , 640 ," 2,209 ", 723 , 875 ," 1,411 ", 558 ," 1,823 ", 409 
2041 , 639 ," 2,206 ", 722 , 874 ," 1,409 ", 557 ," 1,820 ", 408 
2042 , 673 ," 2,323 ", 760 , 921 ," 1,484 ", 587 ," 1,917 ", 430 
