연도,남구,달서구,달성군,동구,북구,서구,수성구,중구
2023 , 650 ," 4,538 "," 3,038 "," 2,684 "," 3,394 ", 861 ," 3,478 ", 857 
2024 , 603 ," 4,337 "," 2,897 "," 2,568 "," 3,183 ", 890 ," 3,362 ", 917 
2025 , 581 ," 3,914 "," 2,544 "," 2,306 "," 2,886 ", 880 ," 2,995 ", 939 
2026 , 577 ," 3,508 "," 2,188 "," 1,997 "," 2,506 ", 778 ," 2,653 ", 913 
2027 , 527 ," 3,169 "," 2,024 "," 1,783 "," 2,274 ", 726 ," 2,446 ", 827 
2028 , 501 ," 2,775 "," 1,787 "," 1,614 "," 2,003 ", 633 ," 2,177 ", 727 
2029 , 455 ," 2,506 "," 1,590 "," 1,437 "," 1,784 ", 561 ," 1,938 ", 669 
2030 , 434 ," 2,367 "," 1,501 "," 1,358 "," 1,682 ", 532 ," 1,834 ", 646 
2031 , 391 ," 2,123 "," 1,347 "," 1,220 "," 1,508 ", 478 ," 1,645 ", 580 
2032 , 390 ," 2,121 "," 1,347 "," 1,219 "," 1,507 ", 478 ," 1,642 ", 580 
2033 , 411 ," 2,234 "," 1,418 "," 1,284 "," 1,587 ", 503 ," 1,729 ", 610 
2034 , 431 ," 2,344 "," 1,488 "," 1,347 "," 1,665 ", 528 ," 1,815 ", 641 
2035 , 450 ," 2,446 "," 1,553 "," 1,406 "," 1,738 ", 551 ," 1,894 ", 669 
2036 , 467 ," 2,539 "," 1,612 "," 1,459 "," 1,803 ", 572 ," 1,965 ", 694 
2037 , 482 ," 2,618 "," 1,663 "," 1,505 "," 1,860 ", 590 ," 2,027 ", 716 
2038 , 494 ," 2,685 "," 1,705 "," 1,543 "," 1,907 ", 605 ," 2,079 ", 734 
2039 , 503 ," 2,736 "," 1,737 "," 1,572 "," 1,943 ", 617 ," 2,118 ", 748 
2040 , 510 ," 2,773 "," 1,761 "," 1,593 "," 1,970 ", 625 ," 2,147 ", 758 
2041 , 515 ," 2,799 "," 1,777 "," 1,608 "," 1,988 ", 631 ," 2,167 ", 765 
2042 , 518 ," 2,814 "," 1,787 "," 1,617 "," 1,999 ", 634 ," 2,178 ", 769 
