연도,남구,달서구,달성군,동구,북구,서구,수성구,중구
2023 , 660 ," 4,556 "," 2,850 "," 2,573 "," 3,411 ", 843 ," 3,705 ", 716 
2024 , 669 ," 4,618 "," 2,886 "," 2,608 "," 3,458 ", 854 ," 3,756 ", 726 
2025 , 664 ," 4,579 "," 2,866 "," 2,586 "," 3,429 ", 847 ," 3,725 ", 720 
2026 , 638 ," 4,404 "," 2,756 "," 2,487 "," 3,298 ", 815 ," 3,582 ", 692 
2027 , 580 ," 3,999 "," 2,499 "," 2,258 "," 2,994 ", 740 ," 3,252 ", 629 
2028 , 514 ," 3,545 "," 2,223 "," 2,002 "," 2,654 ", 656 ," 2,883 ", 557 
2029 , 469 ," 3,238 "," 2,030 "," 1,828 "," 2,425 ", 599 ," 2,633 ", 509 
2030 , 416 ," 2,870 "," 1,800 "," 1,621 "," 2,149 ", 531 ," 2,334 ", 451 
2031 , 373 ," 2,570 "," 1,612 "," 1,451 "," 1,925 ", 475 ," 2,090 ", 404 
2032 , 353 ," 2,432 "," 1,525 "," 1,374 "," 1,821 ", 450 ," 1,978 ", 382 
2033 , 316 ," 2,183 "," 1,368 "," 1,233 "," 1,635 ", 404 ," 1,775 ", 343 
2034 , 316 ," 2,180 "," 1,367 "," 1,231 "," 1,633 ", 403 ," 1,773 ", 343 
2035 , 333 ," 2,296 "," 1,440 "," 1,296 "," 1,719 ", 425 ," 1,867 ", 361 
2036 , 349 ," 2,409 "," 1,511 "," 1,360 "," 1,804 ", 446 ," 1,959 ", 379 
2037 , 365 ," 2,514 "," 1,577 "," 1,420 "," 1,883 ", 465 ," 2,045 ", 395 
2038 , 378 ," 2,609 "," 1,636 "," 1,473 "," 1,954 ", 483 ," 2,122 ", 410 
2039 , 390 ," 2,691 "," 1,688 "," 1,520 "," 2,015 ", 498 ," 2,189 ", 423 
2040 , 400 ," 2,760 "," 1,730 "," 1,558 "," 2,066 ", 511 ," 2,244 ", 434 
2041 , 408 ," 2,812 "," 1,763 "," 1,588 "," 2,106 ", 520 ," 2,287 ", 442 
2042 , 413 ," 2,850 "," 1,787 "," 1,609 "," 2,134 ", 527 ," 2,318 ", 448 
