연도,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042
초1," 18,734 "," 17,009 "," 15,079 "," 13,775 "," 12,208 "," 10,934 "," 10,348 "," 9,286 "," 9,274 "," 9,767 "," 10,248 "," 10,696 "," 11,100 "," 11,449 "," 11,739 "," 11,961 "," 12,124 "," 12,236 "," 12,303 "," 12,133 "
초2," 19,330 "," 18,588 "," 16,877 "," 14,962 "," 13,668 "," 12,113 "," 10,849 "," 10,267 "," 9,214 "," 9,202 "," 9,691 "," 10,168 "," 10,613 "," 11,014 "," 11,360 "," 11,648 "," 11,868 "," 12,030 "," 12,141 "," 12,207 "
초3," 19,489 "," 19,326 "," 18,584 "," 16,874 "," 14,959 "," 13,665 "," 12,111 "," 10,847 "," 10,265 "," 9,212 "," 9,200 "," 9,689 "," 10,166 "," 10,611 "," 11,012 "," 11,358 "," 11,646 "," 11,866 "," 12,028 "," 12,139 "
초4," 19,198 "," 19,461 "," 19,298 "," 18,557 "," 16,850 "," 14,937 "," 13,645 "," 12,094 "," 10,831 "," 10,250 "," 9,199 "," 9,187 "," 9,675 "," 10,151 "," 10,596 "," 10,996 "," 11,342 "," 11,629 "," 11,849 "," 12,011 "
초5," 21,391 "," 19,191 "," 19,454 "," 19,291 "," 18,550 "," 16,844 "," 14,931 "," 13,640 "," 12,089 "," 10,827 "," 10,246 "," 9,196 "," 9,184 "," 9,671 "," 10,147 "," 10,592 "," 10,992 "," 11,338 "," 11,625 "," 11,844 "
초6," 20,715 "," 21,355 "," 19,159 "," 19,421 "," 19,258 "," 18,519 "," 16,816 "," 14,906 "," 13,617 "," 12,069 "," 10,809 "," 10,229 "," 9,180 "," 9,168 "," 9,655 "," 10,130 "," 10,574 "," 10,973 "," 11,319 "," 11,605 "
초등학교 소계," 118,857 "," 114,930 "," 108,451 "," 102,880 "," 95,493 "," 87,012 "," 78,700 "," 71,040 "," 65,290 "," 61,327 "," 59,393 "," 59,165 "," 59,918 "," 62,064 "," 64,509 "," 66,685 "," 68,546 "," 70,072 "," 71,265 "," 71,939 "
중1," 20,575 "," 20,508 "," 21,141 "," 18,967 "," 19,227 "," 19,065 "," 18,334 "," 16,648 "," 14,757 "," 13,481 "," 11,948 "," 10,701 "," 10,127 "," 9,088 "," 9,076 "," 9,558 "," 10,029 "," 10,468 "," 10,863 "," 11,206 "
중2," 19,322 "," 20,489 "," 20,423 "," 21,053 "," 18,888 "," 19,147 "," 18,986 "," 18,258 "," 16,579 "," 14,696 "," 13,425 "," 11,898 "," 10,656 "," 10,085 "," 9,050 "," 9,038 "," 9,518 "," 9,987 "," 10,424 "," 10,818 "
중3," 20,403 "," 19,267 "," 20,430 "," 20,365 "," 20,993 "," 18,834 "," 19,092 "," 18,932 "," 18,206 "," 16,532 "," 14,654 "," 13,387 "," 11,864 "," 10,626 "," 10,056 "," 9,024 "," 9,012 "," 9,491 "," 9,958 "," 10,394 "
중학교 소계," 60,300 "," 60,264 "," 61,994 "," 60,385 "," 59,108 "," 57,046 "," 56,412 "," 53,838 "," 49,542 "," 44,709 "," 40,027 "," 35,986 "," 32,647 "," 29,799 "," 28,182 "," 27,620 "," 28,559 "," 29,946 "," 31,245 "," 32,418 "
고1," 21,405 "," 20,015 "," 18,901 "," 20,042 "," 19,978 "," 20,594 "," 18,476 "," 18,729 "," 18,572 "," 17,860 "," 16,218 "," 14,376 "," 13,133 "," 11,639 "," 10,424 "," 9,865 "," 8,853 "," 8,841 "," 9,311 "," 9,769 "
고2," 19,052 "," 20,976 "," 19,614 "," 18,523 "," 19,641 "," 19,578 "," 20,182 "," 18,106 "," 18,354 "," 18,200 "," 17,502 "," 15,893 "," 14,088 "," 12,870 "," 11,406 "," 10,215 "," 9,668 "," 8,676 "," 8,664 "," 9,125 "
고3," 19,076 "," 18,786 "," 20,683 "," 19,340 "," 18,265 "," 19,367 "," 19,305 "," 19,900 "," 17,853 "," 18,098 "," 17,946 "," 17,258 "," 15,671 "," 13,891 "," 12,690 "," 11,247 "," 10,073 "," 9,533 "," 8,555 "," 8,543 "
고등학교 소계," 59,533 "," 59,777 "," 59,198 "," 57,905 "," 57,884 "," 59,539 "," 57,963 "," 56,735 "," 54,779 "," 54,158 "," 51,666 "," 47,527 "," 42,892 "," 38,400 "," 34,520 "," 31,327 "," 28,594 "," 27,050 "," 26,530 "," 27,437 "
초중고 총계," 238,690 "," 234,971 "," 229,643 "," 221,170 "," 212,485 "," 203,597 "," 193,075 "," 181,613 "," 169,611 "," 160,194 "," 151,086 "," 142,678 "," 135,457 "," 130,263 "," 127,211 "," 125,632 "," 125,699 "," 127,068 "," 129,040 "," 131,794 "
